name,formula,variables,units,source,notes
Heq (estimado),"heq_mm = D_mm × factor","D_mm: altura total del producto (mm); direccionalidad: 'bi'|'uni'; familia: 'convencional'|'post'|'casetonada'; factor: 0.60 si bi, 0.55 si uni, +0.08 adicional si familia='post'","mm","src/Calculo.php:15-21","Usado cuando no hay heq_mm exacto en la base de datos del producto"
Heq requerido por luces,"heq_req_mm = (L_max_m / ratio) × 1000","L_max_m: max(ejeX_m,ejeY_m); ratio: L/heq (adimensional)","mm","src/Calculo.php:28-35","Valida suficiência geométrica en combinación con tolerancia"
Suficiencia geométrica,"suficiente = (heq_mm ≥ heq_req_mm × 0.95)","heq_mm: del producto/estimación; heq_req_mm: requerido; tolerancia: 0.95 (5% margen)","boolean","api/calcular.php:57-63","Si no hay ratio, se asume true"
Volumen losa maciza,"vol_maciza_m3_m2 = heq_mm / 1000","heq_mm: espesor equivalente (mm)","m³/m²","src/Calculo.php:42-45","Base de comparación para ahorros"
Volumen Atex (estimación),"vol_atex_m3_m2 = vol_maciza_m3_m2 × factor_eficiencia","factor_eficiencia: ver reglas por altura/familia/direccionalidad","m³/m²","src/Calculo.php:50-55,61-91","Si hay 'vol_atex_override' desde metadata_json, se usa ese valor en lugar de la estimación"
Factor eficiencia por altura,"factor_eficiencia = { ≤150:0.585; ≤200:0.685; ≤230:0.679; ≤300:0.70; >300:0.65 }","altura_mm: altura total del producto","-","src/Calculo.php:70-80","Valores calibrados con datos reales del catálogo Atex 2025"
Ajustes de eficiencia,"factor_eficiencia += adj","adj: -0.05 si familia='post'; -0.02 si familia='casetonada'; -0.01 si direccionalidad='bi'","-","src/Calculo.php:82-85","Luego se limita: 0.55 ≤ factor_eficiencia ≤ 0.75 (src/Calculo.php:87-90)"
Ahorro de concreto,"ahorro_concreto_pct = (1 - vol_atex/vol_maciza) × 100","vol_atex,vol_maciza: m³/m²","%","api/calcular.php:98","Redondeado a 1 decimal en la respuesta"
Acero losa maciza,"acero_maciza_kg_m2 = heq_mm × 0.8","heq_mm: espesor equivalente (mm)","kg/m²","src/Calculo.php:96-101","k=0.8 kg/m² por mm de espesor"
Factor acero Atex (base),"factor_acero = 0.50","-","fracción","src/Calculo.php:113-118","Representa la fracción del acero macizo que usa Atex (~50%)"
Factor acero Atex (familia/tipo),"si familia='post' o tipo='post' ⇒ factor_acero=0.35; si familia='casetonada' ⇒ factor_acero=0.48","familia,tipo","fracción","src/Calculo.php:119-124","Post-tensado más eficiente, casetonada ligeramente más eficiente"
Ajustes de factor acero por heq,"factor_acero += adj","adj: -0.05 si heq_mm ≥ 300; -0.02 si heq_mm ≥ 200; +0.08 si heq_mm ≤ 100","fracción","src/Calculo.php:126-133","Luego se limita: 0.25 ≤ factor_acero ≤ 0.65 (src/Calculo.php:135-139)"
Acero Atex,"acero_atex_kg_m2 = acero_maciza_kg_m2 × factor_acero","acero_maciza_kg_m2: kg/m²; factor_acero: fracción","kg/m²","src/Calculo.php:102-107","Calculado tras determinar factor_acero"
Ahorro de acero,"ahorro_acero_pct = (1 - acero_atex/acero_maciza) × 100","acero_atex,acero_maciza: kg/m²","%","api/calcular.php:99","Redondeado a 1 decimal en la respuesta"
Clasificación de estado,"estado = { if !suficiente:'insuficiente'; else if ahorro_conc≥15 && ahorro_acero≥10:'ok'; else if ahorro_conc≥8 && ahorro_acero≥5:'ajustada'; else:'insuficiente' }","ahorro_conc: %; ahorro_acero: %; suficiente: boolean","-","src/Calculo.php:141-146","Reglas de clasificación usadas en resultados"
Inercia (fallback desde Heq),"I_cm4 = (Heq_cm^3 × 80) / 12","Heq_cm = heq_mm / 10","cm⁴","api/calcular.php:110-113","Usado solo si no hay inercia en metadata_json"
Heq desde Inercia (UI),"Heq_cm = ³√((I_cm4 × 12)/80)","I_cm4: inercia del producto (cm⁴)","cm","public/assets/app.js:867-877","Fórmula mostrada en la tarjeta de cada producto (display)"
Área de losa (comparación Atex vs Macizo),"area_m2 = ejeX_m × ejeY_m","ejeX_m,ejeY_m: dimensiones de luz (m)","m²","src/CalculoAtex.php:28-29","Usado en sección comparativa de la UI"
Luz mayor,"luz_mayor_m = max(ejeX_m, ejeY_m)","ejeX_m,ejeY_m (m)","m","src/CalculoAtex.php:30","Base para momentos simplificados"
Momentos simplificados,"Mx = My = (carga_total × luz_mayor_m^2) / 100","carga_total: 900 kg/m²; luz_mayor_m: m","kN·m (aprox)","src/CalculoAtex.php:29-34","Modelo simplificado solo para comparación visual"
Hormigón macizo (comparación),"hormigon_macizo_m3_m2 = (h_macizo_cm × coef_carga)/100","h_macizo_cm: cm; coef_carga: adimensional","m³/m²","src/CalculoAtex.php:36-39","Convierte altura en cm a consumo volumétrico"
Hormigón Atex (comparación),"hormigon_atex_m3_m2 = q_atex","q_atex: consumo Atex m³/m²","m³/m²","src/CalculoAtex.php:39-41","Valor específico provisto por usuario o por defecto"
Ahorro de hormigón (comparación),"ahorro_hormigon_pct = ((hormigon_macizo - hormigon_atex)/hormigon_macizo) × 100","-","%","src/CalculoAtex.php:41-48","-"
Acero macizo (comparación),"acero_macizo_kg_m2 = 13.4","constante","kg/m²","src/CalculoAtex.php:45","Valor fijo para la comparación simplificada"
Acero Atex (comparación),"acero_atex_kg_m2 = 8.0","constante","kg/m²","src/CalculoAtex.php:46","Valor fijo para la comparación simplificada"
Ahorro de acero (comparación),"ahorro_acero_pct = ((acero_macizo - acero_atex)/acero_macizo) × 100","-","%","src/CalculoAtex.php:48","-"
Estado (comparación Atex vs Macizo),"estado = { excelente, muy_bueno, bueno, aceptable, insuficiente } por umbrales","excelente: ≥25% hormigón y ≥35% acero; muy_bueno: ≥20% y ≥25%; bueno: ≥15% y ≥20%; aceptable: ≥10% y ≥15%","-","src/CalculoAtex.php:103-109","Solo para sección comparativa informativa"
